,email,category,message
0,James5014@gmail.com,spam   ,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"",,,,,,,,,,,,,"
1,Aurora.Hutson@hotmail.com,spam   ,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send"", Â£1.50 to rcv,,,,,,,,,,,,"
2,Jennifer5300@gmail.com,spam   ,"WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."",,,,,,,,,,,,,"
3,Walter5413@gmail.com,spam   ,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"",,,,,,,,,,,,,"
4,Joe1134@gmail.com,spam   ,"SIX chances to win CASH! From 100 to 20"",000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info,,,,,,,,,,"
5,KarenPerry@gmail.com,spam   ,"URGENT! You have won a 1 week FREE membership in our Â£100"",000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,,,,,,,,,,,,"
6,PaulLykins@gmail.com,spam   ,"XXXMobileMovieClub: To use your credit"", click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL,,,,,,,,,,,,"
7,StevenBlankenship@yahoo.com,spam   ,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES"", SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+,,,,,,,,,,,,"
8,Tim2800@vitstudent.ac.in,spam   ,"Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"",,,,,,,,,,,,,"
9,Tara7418@gmail.com,spam   ,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow"",,,,,,,,,,,,,"
10,Alfonso5256@hotmail.com,spam   ,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV"",,,,,,,,,,,,,"
11,Steven.Brown@gmail.com,spam   ,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V"", Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ,,,,,,,,,,"
12,Amanda.Kazunas@vitstudent.ac.in,spam   ,"As a valued customer"", I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589,,,,,,,,,,,"
